Strike,16-Apr-21,30-Apr-21,21-May-21,28-May-21,18-Jun-21,30-Jun-21,17-Sep-21,30-Sep-21,17-Dec-21,31-Dec-21,21-Jan-22,18-Mar-22,17-Jun-22,16-Dec-22,15-Dec-23,20-Dec-24,19-Dec-25,18-Dec-26,17-Dec-27,15-Dec-28,21-Dec-29,15-Dec-34
3240,0.301725529,0.297379283,0.293353189,0.29092724,0.288359157,0.286086058,0.276407516,0.274964612,0.268653997,0.267001683,0.265093317,0.26269224,0.258103479,0.250315668,0.240250813,0.235586868,0.232336418,0.23251434,0.233158155,0.234333748,0.241267427,0.242637703
3250,0.300055075,0.295766764,0.291807477,0.289415629,0.28691331,0.284680533,0.275211224,0.273789675,0.267632626,0.265979251,0.264125263,0.261778852,0.257255657,0.249584778,0.239645401,0.235136248,0.231989596,0.232204179,0.232873746,0.234065882,0.241011022,0.242440192
3260,0.298374471,0.294146906,0.290256185,0.287899547,0.285464731,0.283270142,0.274011136,0.272610788,0.26660873,0.264954416,0.263155218,0.260862678,0.256404872,0.248852207,0.239039748,0.23468603,0.231643287,0.231894511,0.232589825,0.233798479,0.240755134,0.242243128
3270,0.296683825,0.292519792,0.28869938,0.286379048,0.284013459,0.281854943,0.272807298,0.271428,0.265582339,0.263927208,0.262183212,0.259941644,0.255551159,0.248117978,0.238433862,0.234236214,0.231297491,0.231585334,0.23230639,0.233531537,0.240499762,0.242046508
3280,0.294983245,0.290885504,0.287137127,0.284854188,0.282559532,0.280434992,0.271599756,0.270241357,0.264553488,0.26289766,0.26120927,0.259015747,0.254694551,0.247382112,0.23782775,0.2337868,0.230952205,0.231276648,0.23202344,0.233265056,0.240244903,0.241850329
3290,0.293272838,0.289244121,0.28556949,0.28332502,0.281102987,0.279010347,0.270388554,0.269050904,0.263522208,0.261865803,0.260232399,0.258085041,0.253835084,0.246644631,0.237221421,0.23333779,0.230607428,0.230968449,0.231740972,0.232999033,0.239990555,0.24165459
3300,0.291552707,0.287595724,0.283996532,0.281791598,0.279643863,0.277581063,0.269173738,0.267856688,0.262488531,0.260831033,0.259249023,0.257149578,0.252972792,0.245905556,0.236614881,0.232889184,0.230263158,0.230660737,0.231458986,0.232733467,0.239736715,0.241459287
3325,0.287210525,0.283444556,0.280041267,0.277939774,0.275985003,0.273987917,0.266121171,0.264854978,0.25988031,0.258219338,0.256761185,0.254790445,0.250804919,0.244051037,0.235097661,0.231769437,0.229404696,0.229893575,0.230756112,0.232071538,0.239104325,0.240972931
3350,0.282809813,0.279251242,0.276054095,0.274062493,0.272310809,0.270366966,0.263046956,0.261830717,0.257226546,0.255571935,0.254232216,0.252402691,0.248620107,0.242187016,0.233579288,0.230652223,0.228549375,0.22912942,0.230056207,0.231412426,0.238475063,0.240489261
3375,0.278352117,0.275016951,0.272035947,0.270160534,0.268621824,0.266719026,0.259951745,0.258784573,0.254528323,0.252889763,0.25166317,0.249987086,0.246418854,0.240313806,0.232059871,0.229537546,0.227697173,0.228368247,0.229359241,0.230756105,0.237848895,0.240008243
