Company,Symbol,Industry,Offer Date,Shares (millions),Offer Price,1st Day Close,Current Price,Return,SCOOP Rating
Miromatrix Medical Inc.,MIRO,Health Care,6/24/21,4.8,$9.00 ,$15.24 ,$10.12 ,12.44%,S/O
Monte Rosa Therapeutics,GLUE,Health Care,6/24/21,11.7,$19.00 ,$21.18 ,$23.00 ,21.05%,S/O
Coliseum Acquisition Corp.,MITAU,Blank Check,6/23/21,15,$10.00 ,$9.90 ,$9.89 ,-1.10%,S/O
First Advantage Corp.,FA,Other,6/23/21,25.5,$15.00 ,$19.70 ,$18.70 ,24.67%,S/O
"Sprinklr, Inc.",CXM,Technology,6/23/21,16.6,$16.00 ,$17.60 ,$18.90 ,18.13%,S/O
Full Truck Alliance Co. Ltd.,YMM,Technology,6/22/21,82.5,$19.00 ,$21.50 ,$9.86 ,-48.11%,S/O
AiHuiShou International Co. Ltd.,RERE,Consumer Goods,6/18/21,16.2,$14.00 ,$17.21 ,$12.01 ,-14.21%,S/O
Ambrx Biopharma,AMAM,Health Care,6/18/21,7,$18.00 ,$17.05 ,$21.99 ,22.17%,S/O
ATAI Life Sciences B.V.*,ATAI,Health Care,6/18/21,15,$15.00 ,$19.45 ,$16.23 ,8.20%,S/O
"Century Therapeutics, Inc.",IPSC,Health Care,6/18/21,10.6,$20.00 ,$0.00 ,$28.25 ,41.25%,S/O
Codex DNA,DNAY,Health Care,6/18/21,6.7,$16.00 ,$18.50 ,$15.49 ,-3.19%,S/O
Cyteir Therapeutics,CYT,Health Care,6/18/21,7.4,$18.00 ,$17.40 ,$17.83 ,-0.94%,S/O
Femasys Inc.,FEMY,Health Care,6/18/21,2.7,$13.00 ,$12.00 ,$7.24 ,-44.31%,S/O
Tremor International Ltd.,TRMR,Technology,6/18/21,6.8,$19.00 ,$17.90 ,$23.25 ,22.37%,S/O
"Angel Oak Mortgage, Inc.",AOMR,Financials,6/17/21,8.1,$19.00 ,$18.65 ,$18.15 ,-4.47%,S/O
iSpecimen Inc.,ISPC,Health Care,6/17/21,2.3,$8.00 ,$7.15 ,$5.76 ,-28.00%,S/O
"Lyell Immunopharma, Inc.",LYEL,Health Care,6/17/21,25,$17.00 ,$16.89 ,$13.51 ,-20.53%,S/O
